candidate,N_CELLS,mesh_variant,mode,epsilon,radius,fit_half_width,regularization_operator,tangential_regularization,regularization_iterations,preserve_modes_through,topology_valid,interface_elements,interface_components,open_endpoints,curvature_fits,curvature_fallbacks,exact_mode_amplitude,raw_mode_amplitude,regularized_mode_amplitude,raw_amplitude_transfer,regularized_amplitude_transfer,raw_phase_error_deg,regularized_phase_error_deg,raw_L2,raw_Linf,raw_relative_L2,raw_relative_Linf,regularized_L2,regularized_Linf,regularized_relative_L2,regularized_relative_Linf,utility_status,row_pass,row_reason
h3_biharmonic_20,32,uniform,4,0.02,0.001,3,biharmonic,0.05,20,4,1,28,1,0,28,0,281.67008644,162.801447552,91.6545207573,0.577986287465,0.325396714701,0.0141562083485,0.00185177390908,179.943880498,279.318377098,0.17638430024,0.226430880103,139.612896186,249.226931404,0.136851127864,0.202037094764,0,1,topology-only coarse point
h3_biharmonic_20,32,perturbed,2,0.02,0.001,3,biharmonic,0.05,20,4,1,28,1,0,28,0,59.7096014982,74.1702520575,70.7793780171,1.24218300234,1.18539357559,8.93987006188,7.64222227772,159.892918953,229.495646202,0.159815552712,0.217487070118,37.1482568304,79.5708741089,0.0371302821694,0.0754072530919,0,1,topology-only coarse point
h3_biharmonic_20,32,perturbed,3,0.02,0.001,3,biharmonic,0.05,20,4,1,28,1,0,28,0,160.822993956,182.129380613,148.13284215,1.13248345982,0.921092429055,7.10628164348,7.31627910799,163.0903472,219.472239458,0.162109664511,0.190283063084,29.1938512504,58.9006516599,0.0290183049656,0.0510670344603,0,1,topology-only coarse point
h3_biharmonic_20,32,perturbed,4,0.02,0.001,3,biharmonic,0.05,20,4,1,25,1,0,25,0,327.804110817,109.557363443,45.4537677651,0.334215953456,0.138661372037,5.35076176558,3.57303794391,264.120126977,558.100810746,0.258327592004,0.437671894815,194.160588311,314.763192733,0.189902366831,0.24684250646,0,1,topology-only coarse point
h3_biharmonic_20,64,uniform,2,0.02,0.001,3,biharmonic,0.05,20,4,1,52,1,0,52,0,59.8045228912,64.4743605006,64.4522028442,1.07808502407,1.07771452272,0.00265654293051,0.0196625932157,47.8676330827,77.1450523567,0.0478434194846,0.0730091520566,8.17739647771,16.4599749569,0.0081732599834,0.0155775228321,0,1,ok
h3_biharmonic_20,64,uniform,3,0.02,0.001,3,biharmonic,0.05,20,4,1,52,1,0,52,0,159.611265503,149.239982054,149.176457991,0.935021607554,0.934623615201,0.195474232299,0.131300519749,49.2150321076,81.2009547051,0.0489469744308,0.0704937687903,14.3337448411,37.8423119246,0.0142556737686,0.0328524116125,0,1,ok
h3_biharmonic_20,64,uniform,4,0.02,0.001,3,biharmonic,0.05,20,4,1,52,1,0,52,0,300.704251406,267.657353627,256.99358828,0.890101660936,0.854639025149,0.0164408908252,0.010372485748,64.2927891559,117.186591189,0.0629861920073,0.0919216889328,34.4819696637,50.0295041019,0.0337812061126,0.0392433679216,0,1,ok
h3_biharmonic_20,64,perturbed,2,0.02,0.001,3,biharmonic,0.05,20,4,1,51,1,0,51,0,59.7675460135,68.5370694289,65.0434160524,1.14672717888,1.08827315811,6.56932175078,3.48165525222,68.2050231345,144.516915281,0.0681699070755,0.13676358921,19.6254166575,40.8569911995,0.0196153123095,0.0386650154405,0,1,ok
h3_biharmonic_20,64,perturbed,3,0.02,0.001,3,biharmonic,0.05,20,4,1,52,1,0,52,0,159.368209513,151.185489282,153.350229401,0.948655254045,0.962238515886,1.93255014081,0.66666745845,70.9117095728,147.649516836,0.0705105900637,0.128166749103,25.3758762274,45.1123747586,0.0252323349268,0.039159670421,0,1,ok
h3_biharmonic_20,64,perturbed,4,0.02,0.001,3,biharmonic,0.05,20,4,1,52,1,0,52,0,300.924502277,263.938683944,252.282871377,0.877092699156,0.838359354152,0.710342826459,0.672169685701,83.8161832931,195.78791153,0.0821109495541,0.153416570913,43.2189520485,86.4626521774,0.0423396658259,0.0677508815811,0,1,ok
h3_biharmonic_20,128,uniform,2,0.02,0.001,3,biharmonic,0.05,20,4,1,104,1,0,104,0,59.9458810301,58.4607613769,58.6283088719,0.975225659751,0.978020639024,0.00105912075728,0.000188573594316,19.1795966869,38.2601909589,0.0191699612713,0.0361925748612,4.71645356732,14.714464183,0.00471408412281,0.0139192809324,0,1,ok
h3_biharmonic_20,128,uniform,3,0.02,0.001,3,biharmonic,0.05,20,4,1,102,1,0,102,0,159.805155466,155.406974779,155.976624781,0.972477854837,0.976042508306,0.0171678309757,0.0169129277087,19.6695799852,44.645859285,0.0195624944358,0.0387079951804,6.67602678963,16.8952118834,0.00663968102133,0.0146481620161,0,1,ok
h3_biharmonic_20,128,uniform,4,0.02,0.001,3,biharmonic,0.05,20,4,1,108,1,0,108,0,298.984125985,283.194963471,282.487227829,0.947190632741,0.944823498233,0.00256777601209,0.00321536224474,21.6278656893,28.210495956,0.0211901109078,0.0219443974145,15.3601382979,30.1797545746,0.0150492442836,0.0234762454829,0,1,ok
